survey_id	zone	node_id	sequence	x	z	y	event	label	neighbors	source	confidence
20260712-170700-z102	102	1742	1742	428.932	-410.977	23.535	point		1741,1743	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1743	1743	427.945	-412.770	23.482	point		1742,1744	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1744	1744	426.311	-415.372	23.842	point		1743,1745	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1745	1745	425.063	-417.212	23.810	point		1744,1746	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1746	1746	423.316	-419.542	23.702	point		1745,1747	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1747	1747	421.786	-421.457	23.581	point		1746,1748	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1748	1748	419.704	-423.720	23.412	point		1747,1749	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1749	1749	418.085	-425.024	23.465	point		1748,1750	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1750	1750	415.439	-426.611	23.490	point		1749,1751	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1751	1751	413.403	-427.514	23.515	point		1750,1752	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1752	1752	410.656	-428.477	23.578	point		1751,1753	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1753	1753	408.374	-429.250	23.845	point		1752,1754	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1754	1754	405.466	-430.297	24.010	point		1753,1755	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1755	1755	403.541	-431.015	24.083	point		1754,1756	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1756	1756	400.651	-432.105	24.141	point		1755,1757	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1757	1757	398.720	-432.837	24.157	point		1756,1758	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1758	1758	395.831	-433.932	24.102	point		1757,1759	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1759	1759	393.555	-434.795	24.180	point		1758,1760	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1760	1760	390.680	-435.886	24.250	point		1759,1761	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	1761	1761	388.603	-436.673	24.369	point		1760,1762	live-route-recording-20260712-170700-z102	proven
